layer,position,accuracy
0,last,0.45
1,last,0.8666666666666667
2,last,0.95
3,last,0.9833333333333333
4,last,0.9833333333333333
5,last,0.9833333333333333
6,last,0.9833333333333333
7,last,0.9833333333333333
8,last,0.9666666666666667
9,last,0.9666666666666667
10,last,0.9833333333333333
11,last,0.9666666666666667
12,last,0.9666666666666667
13,last,0.9666666666666667
14,last,0.9666666666666667
15,last,0.9666666666666667
16,last,0.9666666666666667
17,last,0.9833333333333333
18,last,0.9833333333333333
19,last,0.9833333333333333
20,last,0.9833333333333333
21,last,0.9833333333333333
22,last,0.9833333333333333
23,last,0.9833333333333333
24,last,0.9833333333333333
25,last,0.9833333333333333
26,last,0.9833333333333333
27,last,0.9833333333333333
28,last,0.9833333333333333
29,last,0.9833333333333333
30,last,0.9833333333333333
31,last,0.9833333333333333
32,last,0.9833333333333333
33,last,0.9833333333333333
34,last,0.9833333333333333
35,last,0.9833333333333333
36,last,0.9833333333333333
37,last,0.9833333333333333
38,last,0.9833333333333333
39,last,0.9833333333333333
40,last,0.9833333333333333
