model_id,prop_id,comparison,pair_id,x_name,y_name,x_value,y_value,temperature,top_p,max_new_tokens,fwd_gold,rev_gold,fwd_n,rev_n,fwd_p_yes,rev_p_yes,fwd_p_no,rev_p_no,fwd_p_correct,rev_p_correct,fwd_majority_label,rev_majority_label,same_yes_no_majority,yes_yes_majority,no_no_majority,abs_p_yes_gap,abs_p_correct_gap
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,0811206219925b173d1b95192d2fbc304065e2820c7569795037c92f309c3c20,Robert Marasco's Burnt Offerings,Brad Meltzer's The Book of Fate,260.0,528.0,0.7,0.9,2000,NO,YES,10,10,0.1,0.7,0.9,0.3,0.9,0.7,NO,YES,False,False,False,0.6,0.20000000000000007
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,0cbd6442b4a9fe71a109530922d90f3eee6b0304de0ba797a9caa8a9acd3555b,Anne McCaffrey's The Dolphins of Pern,André Alexis's The Hidden Keys,340.0,232.0,0.7,0.9,2000,YES,NO,10,10,0.5,0.7,0.5,0.3,0.5,0.3,NO,YES,False,False,False,0.19999999999999996,0.2
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,34c38e7b7561a5340a44ca64db85fdf9743a59558887ab6ac3646622e28b2420,John Bellairs's The Face in the Frost,Kevin Mitnick's The Art of Intrusion,174.0,270.0,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,4bc61ca9d2239c1f45e770971e94dae754d6fdb3b024316d75bc6eeae4d1e4df,Stephen King's Rage,Orson Scott Card's Shadow of the Giant,211.0,368.0,0.7,0.9,2000,NO,YES,10,10,0.4,0.5,0.6,0.5,0.6,0.5,NO,NO,True,False,True,0.09999999999999998,0.09999999999999998
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,4ebbe64179041d993a753ef804ab7336726e157c45a08465251ac20e21b0d15b,Lee Goldberg's Mr. Monk Goes to Germany,Matthew Reilly's Scarecrow and the Army of Thieves,288.0,576.0,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,a5a78b21ae491abd80b45f2bdd3cc6eb22e515b61c29e4c3b4728f5083e9d5a2,Colum McCann's TransAtlantic,Stephen L. Carter's New England White,320.0,576.0,0.7,0.9,2000,NO,YES,10,10,0.7,0.3,0.3,0.7,0.3,0.3,YES,NO,False,False,False,0.39999999999999997,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,af5a320ae892d6a134f22fae6da3706ae0ee9b927cb48c9c211d7b20dbf0d9bf,Bruce Springsteen's Outlaw Pete,Richard Brautigan's In Watermelon Sugar,56.0,138.0,0.7,0.9,2000,NO,YES,10,10,0.1,0.0,0.9,0.8,0.9,0.0,NO,NO,True,False,True,0.1,0.9
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,cae0195564f2385b9ae8d1a00de07c9d7a1709bb056a3d615af9c6802eb0d2ef,Theodore Sturgeon's More Than Human,Claudia Gray's Evernight,233.0,336.0,0.7,0.9,2000,NO,YES,10,10,0.0,0.9,1.0,0.1,1.0,0.9,NO,YES,False,False,False,0.9,0.09999999999999998
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,cfbb90d6235a897bb075a7c9735cf628412f6b98a5d893582fefe74b40ab41ac,Stephen L. Carter's New England White,Anita Shreve's Sea Glass,576.0,384.0,0.7,0.9,2000,YES,NO,10,10,0.4,0.5,0.6,0.5,0.4,0.5,NO,NO,True,False,True,0.09999999999999998,0.09999999999999998
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,d5710f4b33027d2569327495c7ca290e198d64b3d513b230c5ce3652c3e48ccb,Douglas Preston's The Cabinet of Curiosities,Douglas Preston's The Codex,565.0,416.0,0.7,0.9,2000,YES,NO,10,10,0.6,0.9,0.4,0.1,0.6,0.1,YES,YES,True,True,False,0.30000000000000004,0.5
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,f9f5ba8c801a093cc6e0d1796ff5f550c4e67af7d481088d8dc9494697bf71d1,Gene Roberts's The Race Beat,Susan Faludi's In the Darkroom,528.0,432.0,0.7,0.9,2000,YES,NO,10,10,0.9,0.3,0.1,0.7,0.9,0.7,YES,NO,False,False,False,0.6000000000000001,0.20000000000000007
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,lt,0c6f046cda49a1714b4600f6a75f9ac5d22c62719b4145062c6d8a3796a251bf,David Bentley Hart's Atheist Delusions: The Christian Revolution and Its Fashionable Enemies,Alastair Reynolds's Aurora Rising,272.0,512.0,0.7,0.9,2000,YES,NO,10,10,1.0,0.0,0.0,1.0,1.0,1.0,YES,NO,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,lt,c89a4a87c87979c6de3d7e6d347ed2f758ea5ea916bdff7e11d186d7446e5008,Chuck Klosterman's Downtown Owl,Robin Hobb's Forest Mage,275.0,660.0,0.7,0.9,2000,YES,NO,10,10,0.8,0.1,0.1,0.9,0.8,0.9,YES,NO,False,False,False,0.7000000000000001,0.09999999999999998
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,lt,d1eda194fcb40bc94b26b89db36d05393b262a2dc06d0391f155d288bf79d9ee,"Sharon Moalem's Why We Look, Smell, Taste, Feel, and Act the Way We Do",Douglas Preston's Crimson Shore,288.0,460.0,0.7,0.9,2000,YES,NO,10,10,1.0,0.0,0.0,1.0,1.0,1.0,YES,NO,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,lt,ee340f6362d7da386a2db9fda08bff305eb0413193659dfe68a9d22780e296fa,Michael Crichton's Electronic Life,Leonard Susskind's Black Hole War: My Battle with Stephen Hawking to Make the World Safe for Quantum Mechanics,209.0,480.0,0.7,0.9,2000,YES,NO,10,10,0.6,0.1,0.4,0.9,0.6,0.9,YES,NO,False,False,False,0.5,0.30000000000000004
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,027d7a12c58957181687de2ca9bf6c60d4ff00cc38ec88b4302b26aed43f54f1,Michael Crichton's The Terminal Man,Dan Simmons's Song of Kali,26399,31350,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
Qwen/Qwen3-4B-Instruct-2507,wm-book-release,gt,04adb31256609a6d7d78d24a0adfa9f84f18f2999e4bc7eb3f00ea2230695740,Gordon Rupert Dickson's The Dragon and the George,Iain Banks's Walking on Glass,27885,31111,0.7,0.9,2000,NO,YES,10,10,0.0,1.0,1.0,0.0,1.0,1.0,NO,YES,False,False,False,1.0,0.0
