model_id,prop_id,comparison,gold_answer,qid,pair_id,direction,temperature,top_p,max_new_tokens,n,yes_count,no_count,unknown_count,refused_count,p_yes,p_no,p_unknown,p_refused,p_correct,majority_label
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,NO,0811206219925b173d1b95192d2fbc304065e2820c7569795037c92f309c3c20_fwd,0811206219925b173d1b95192d2fbc304065e2820c7569795037c92f309c3c20,fwd,0.7,0.9,2000,10,1,9,0,0,0.1,0.9,0.0,0.0,0.9,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,NO,0cbd6442b4a9fe71a109530922d90f3eee6b0304de0ba797a9caa8a9acd3555b_rev,0cbd6442b4a9fe71a109530922d90f3eee6b0304de0ba797a9caa8a9acd3555b,rev,0.7,0.9,2000,10,7,3,0,0,0.7,0.3,0.0,0.0,0.3,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,NO,34c38e7b7561a5340a44ca64db85fdf9743a59558887ab6ac3646622e28b2420_fwd,34c38e7b7561a5340a44ca64db85fdf9743a59558887ab6ac3646622e28b2420,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,NO,4bc61ca9d2239c1f45e770971e94dae754d6fdb3b024316d75bc6eeae4d1e4df_fwd,4bc61ca9d2239c1f45e770971e94dae754d6fdb3b024316d75bc6eeae4d1e4df,fwd,0.7,0.9,2000,10,4,6,0,0,0.4,0.6,0.0,0.0,0.6,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,NO,4ebbe64179041d993a753ef804ab7336726e157c45a08465251ac20e21b0d15b_fwd,4ebbe64179041d993a753ef804ab7336726e157c45a08465251ac20e21b0d15b,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,NO,a5a78b21ae491abd80b45f2bdd3cc6eb22e515b61c29e4c3b4728f5083e9d5a2_fwd,a5a78b21ae491abd80b45f2bdd3cc6eb22e515b61c29e4c3b4728f5083e9d5a2,fwd,0.7,0.9,2000,10,7,3,0,0,0.7,0.3,0.0,0.0,0.3,YES
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,NO,af5a320ae892d6a134f22fae6da3706ae0ee9b927cb48c9c211d7b20dbf0d9bf_fwd,af5a320ae892d6a134f22fae6da3706ae0ee9b927cb48c9c211d7b20dbf0d9bf,fwd,0.7,0.9,2000,10,1,9,0,0,0.1,0.9,0.0,0.0,0.9,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,NO,cae0195564f2385b9ae8d1a00de07c9d7a1709bb056a3d615af9c6802eb0d2ef_fwd,cae0195564f2385b9ae8d1a00de07c9d7a1709bb056a3d615af9c6802eb0d2ef,fwd,0.7,0.9,2000,10,0,10,0,0,0.0,1.0,0.0,0.0,1.0,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,NO,cfbb90d6235a897bb075a7c9735cf628412f6b98a5d893582fefe74b40ab41ac_rev,cfbb90d6235a897bb075a7c9735cf628412f6b98a5d893582fefe74b40ab41ac,rev,0.7,0.9,2000,10,5,5,0,0,0.5,0.5,0.0,0.0,0.5,NO
Qwen/Qwen3-4B-Instruct-2507,wm-book-length,gt,NO,d5710f4b33027d2569327495c7ca290e198d64b3d513b230c5ce3652c3e48ccb_rev,d5710f4b33027d2569327495c7ca290e198d64b3d513b230c5ce3652c3e48ccb,rev,0.7,0.9,2000,10,9,1,0,0,0.9,0.1,0.0,0.0,0.1,YES
